
1 | Program | KEYWORD_PROGRAM
1 | OneHundredDoors | IDENTIFIER
1 | ; | SYMBOL_SEMICOLON
2 | var | KEYWORD_VAR
3 | doors | IDENTIFIER
3 | : | SYMBOL_COLON
3 | Array | KEYWORD_ARRAY
3 | [ | SYMBOL_LBRACKET
3 | 1 | INT_NUMBER
3 | . | SYMBOL_DOT
3 | . | SYMBOL_DOT
3 | 100 | INT_NUMBER
3 | ] | SYMBOL_RBRACKET
3 | of | IDENTIFIER
3 | Boolean | KEYWORD_BOOLEAN
3 | ; | SYMBOL_SEMICOLON
4 | i | IDENTIFIER
4 | , | SYMBOL_COMMA
4 | j | IDENTIFIER
4 | : | SYMBOL_COLON
4 | Integer | KEYWORD_INTEGER
4 | ; | SYMBOL_SEMICOLON
5 | begin | KEYWORD_BEGINK
6 | for | KEYWORD_FOR
6 | i | IDENTIFIER
6 | : | SYMBOL_COLON
6 | = | RELOP_EQUAL
6 | 1 | INT_NUMBER
6 | to | KEYWORD_TO
6 | 100 | INT_NUMBER
6 | do | KEYWORD_DO
6 | begin | KEYWORD_BEGINK
7 | j | IDENTIFIER
7 | : | SYMBOL_COLON
7 | = | RELOP_EQUAL
7 | i | IDENTIFIER
7 | ; | SYMBOL_SEMICOLON
8 | j | IDENTIFIER
8 | : | SYMBOL_COLON
8 | = | RELOP_EQUAL
8 | j | IDENTIFIER
8 | + | AROP_PLUS
8 | i | IDENTIFIER
8 | ; | SYMBOL_SEMICOLON
9 | j | IDENTIFIER
9 | : | SYMBOL_COLON
9 | = | RELOP_EQUAL
9 | ' | SYMBOL_SQUOTE
9 | c | CHARACTER
9 | ' | SYMBOL_SQUOTE
9 | ; | SYMBOL_SEMICOLON
10 | end | KEYWORD_END
10 | ; | SYMBOL_SEMICOLON
12 | a | IDENTIFIER
12 | : | SYMBOL_COLON
12 | = | RELOP_EQUAL
12 | 1 | INT_NUMBER
12 | + | AROP_PLUS
12 | - | AROP_MINUS
12 | - | AROP_MINUS
12 | - | AROP_MINUS
12 | 3 | INT_NUMBER
12 | ; | SYMBOL_SEMICOLON
14 | for | KEYWORD_FOR
14 | i | IDENTIFIER
14 | : | SYMBOL_COLON
14 | = | RELOP_EQUAL
14 | 1 | INT_NUMBER
14 | to | KEYWORD_TO
14 | 100 | INT_NUMBER
14 | do | KEYWORD_DO
14 | begin | KEYWORD_BEGINK
15 | write | KEYWORD_WRITE
15 | ( | SYMBOL_LPAREN
15 | i | IDENTIFIER
15 | , | SYMBOL_COMMA
15 | " | SYMBOL_DQUOTE
15 |   | STRING
15 | " | SYMBOL_DQUOTE
15 | , | SYMBOL_COMMA
15 | ' | SYMBOL_SQUOTE
15 | c | CHARACTER
15 | ' | SYMBOL_SQUOTE
15 | ) | SYMBOL_RPAREN
15 | ; | SYMBOL_SEMICOLON
16 | end | KEYWORD_END
16 | ; | SYMBOL_SEMICOLON
18 | if | KEYWORD_IF
18 | a | IDENTIFIER
18 | then | KEYWORD_THEN
18 | begin | KEYWORD_BEGINK
19 | write | KEYWORD_WRITE
19 | ( | SYMBOL_LPAREN
19 | " | SYMBOL_DQUOTE
19 | only identifier without brackets | STRING
19 | " | SYMBOL_DQUOTE
19 | ) | SYMBOL_RPAREN
19 | ; | SYMBOL_SEMICOLON
20 | end | KEYWORD_END
20 | ; | SYMBOL_SEMICOLON
22 | if | KEYWORD_IF
22 | ( | SYMBOL_LPAREN
22 | a | IDENTIFIER
22 | ) | SYMBOL_RPAREN
22 | then | KEYWORD_THEN
22 | begin | KEYWORD_BEGINK
23 | write | KEYWORD_WRITE
23 | ( | SYMBOL_LPAREN
23 | " | SYMBOL_DQUOTE
23 | only identifier with brackets | STRING
23 | " | SYMBOL_DQUOTE
23 | ) | SYMBOL_RPAREN
23 | ; | SYMBOL_SEMICOLON
24 | end | KEYWORD_END
24 | ; | SYMBOL_SEMICOLON
26 | if | KEYWORD_IF
26 | ( | SYMBOL_LPAREN
26 | 1 | INT_NUMBER
26 | * | AROP_MULTIPLY
26 | 7 | INT_NUMBER
26 | = | RELOP_EQUAL
26 | 8 | INT_NUMBER
26 | ) | SYMBOL_RPAREN
26 | then | KEYWORD_THEN
26 | begin | KEYWORD_BEGINK
27 | write | KEYWORD_WRITE
27 | ( | SYMBOL_LPAREN
27 | " | SYMBOL_DQUOTE
27 | only identifier with brackets | STRING
27 | " | SYMBOL_DQUOTE
27 | ) | SYMBOL_RPAREN
27 | ; | SYMBOL_SEMICOLON
28 | end | KEYWORD_END
28 | ; | SYMBOL_SEMICOLON
30 | if | KEYWORD_IF
30 | arr | IDENTIFIER
30 | [ | SYMBOL_LBRACKET
30 | i | IDENTIFIER
30 | ] | SYMBOL_RBRACKET
30 | then | KEYWORD_THEN
30 | begin | KEYWORD_BEGINK
31 | write | KEYWORD_WRITE
31 | ( | SYMBOL_LPAREN
31 | " | SYMBOL_DQUOTE
31 | only array without brackets | STRING
31 | " | SYMBOL_DQUOTE
31 | ) | SYMBOL_RPAREN
31 | ; | SYMBOL_SEMICOLON
32 | end | KEYWORD_END
32 | ; | SYMBOL_SEMICOLON
34 | if | KEYWORD_IF
34 | ( | SYMBOL_LPAREN
34 | ( | SYMBOL_LPAREN
34 | arr | IDENTIFIER
34 | [ | SYMBOL_LBRACKET
34 | i | IDENTIFIER
34 | ] | SYMBOL_RBRACKET
34 | - | AROP_MINUS
34 | 3 | INT_NUMBER
34 | ) | SYMBOL_RPAREN
34 | = | RELOP_EQUAL
34 | 4 | INT_NUMBER
34 | ) | SYMBOL_RPAREN
34 | then | KEYWORD_THEN
34 | begin | KEYWORD_BEGINK
35 | write | KEYWORD_WRITE
35 | ( | SYMBOL_LPAREN
35 | " | SYMBOL_DQUOTE
35 | only array without brackets | STRING
35 | " | SYMBOL_DQUOTE
35 | ) | SYMBOL_RPAREN
35 | ; | SYMBOL_SEMICOLON
36 | end | KEYWORD_END
36 | ; | SYMBOL_SEMICOLON
38 | if | KEYWORD_IF
38 | ( | SYMBOL_LPAREN
38 | arr | IDENTIFIER
38 | [ | SYMBOL_LBRACKET
38 | i | IDENTIFIER
38 | ] | SYMBOL_RBRACKET
38 | ) | SYMBOL_RPAREN
38 | then | KEYWORD_THEN
38 | begin | KEYWORD_BEGINK
39 | write | KEYWORD_WRITE
39 | ( | SYMBOL_LPAREN
39 | " | SYMBOL_DQUOTE
39 | only array without brackets | STRING
39 | " | SYMBOL_DQUOTE
39 | ) | SYMBOL_RPAREN
39 | ; | SYMBOL_SEMICOLON
40 | end | KEYWORD_END
40 | ; | SYMBOL_SEMICOLON
42 | arr | IDENTIFIER
42 | [ | SYMBOL_LBRACKET
42 | x | IDENTIFIER
42 | ] | SYMBOL_RBRACKET
42 | : | SYMBOL_COLON
42 | = | RELOP_EQUAL
42 | arr | IDENTIFIER
42 | [ | SYMBOL_LBRACKET
42 | arr | IDENTIFIER
42 | [ | SYMBOL_LBRACKET
42 | u | IDENTIFIER
42 | [ | SYMBOL_LBRACKET
42 | 3 | INT_NUMBER
42 | ] | SYMBOL_RBRACKET
42 | ] | SYMBOL_RBRACKET
42 | ] | SYMBOL_RBRACKET
42 | ; | SYMBOL_SEMICOLON
43 | writeln | KEYWORD_WRITELN
43 | ( | SYMBOL_LPAREN
43 | a | IDENTIFIER
43 | , | SYMBOL_COMMA
43 | 3 | INT_NUMBER
43 | , | SYMBOL_COMMA
43 | arr | IDENTIFIER
43 | [ | SYMBOL_LBRACKET
43 | arr | IDENTIFIER
43 | [ | SYMBOL_LBRACKET
43 | arr | IDENTIFIER
43 | [ | SYMBOL_LBRACKET
43 | 3 | INT_NUMBER
43 | ] | SYMBOL_RBRACKET
43 | ] | SYMBOL_RBRACKET
43 | ] | SYMBOL_RBRACKET
43 | , | SYMBOL_COMMA
43 | " | SYMBOL_DQUOTE
43 | ada | STRING
43 | " | SYMBOL_DQUOTE
43 | , | SYMBOL_COMMA
43 | ' | SYMBOL_SQUOTE
43 | a | CHARACTER
43 | ' | SYMBOL_SQUOTE
43 | ) | SYMBOL_RPAREN
43 | ; | SYMBOL_SEMICOLON
45 | if | KEYWORD_IF
45 | arr | IDENTIFIER
45 | [ | SYMBOL_LBRACKET
45 | i | IDENTIFIER
45 | ] | SYMBOL_RBRACKET
45 | and | KEYWORD_AND
45 | a | IDENTIFIER
45 | then | KEYWORD_THEN
45 | begin | KEYWORD_BEGINK
46 | write | KEYWORD_WRITE
46 | ( | SYMBOL_LPAREN
46 | " | SYMBOL_DQUOTE
46 | array with boolean 1 | STRING
46 | " | SYMBOL_DQUOTE
46 | ) | SYMBOL_RPAREN
46 | ; | SYMBOL_SEMICOLON
47 | end | KEYWORD_END
47 | ; | SYMBOL_SEMICOLON
49 | if | KEYWORD_IF
49 | not | KEYWORD_NOT
49 | doors | IDENTIFIER
49 | [ | SYMBOL_LBRACKET
49 | i | IDENTIFIER
49 | ] | SYMBOL_RBRACKET
49 | or | KEYWORD_OR
49 | not | KEYWORD_NOT
49 | doors | IDENTIFIER
49 | [ | SYMBOL_LBRACKET
49 | i | IDENTIFIER
49 | ] | SYMBOL_RBRACKET
49 | then | KEYWORD_THEN
